Date,Address,lat,lon,Killed,Injured,Content
2014-08-24,"1013 Carrie Street, Augusta, Georgia",33.4665546,-81.9742662,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>1013 Carrie Street, Augusta, Georgia"
2014-08-24,"1400 block of Celis Street , San Fernando, California",34.2819461,-118.4389719,3,4,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>4<br/><b>Location: </b>1400 block of Celis Street , San Fernando, California"
2014-08-20,"1400 block of Briarcrest Lane, Memphis, Tennessee",35.1012087,-89.8557103,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>1400 block of Briarcrest Lane, Memphis, Tennessee"
2014-08-18,"Main and Hyacinth streets, Saint Martinville, Louisiana",30.1167776,-91.8302365,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Main and Hyacinth streets, Saint Martinville, Louisiana"
2014-08-17,"153-38 118th Ave, Queens, New York",40.6808923,-73.7884812,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>153-38 118th Ave, Queens, New York"
2014-08-17,"Edinboro Street, Boston, Massachusetts",42.3517686,-71.0596988,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Edinboro Street, Boston, Massachusetts"
2014-08-17,"Purdue Street and Georgetown Avenue, East Palo Alto, California",37.4789729,-122.1377406,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Purdue Street and Georgetown Avenue, East Palo Alto, California"
2014-08-17,"Owens Avenue and H Street, Las Vegas, Nevada",36.1884083,-115.1518779,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Owens Avenue and H Street, Las Vegas, Nevada"
2014-08-16,"West 3rd Street and Monroe Avenue, Plainfield, New Jersey",40.6041741,-74.4381949,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>West 3rd Street and Monroe Avenue, Plainfield, New Jersey"
2014-08-16,"122 Pierpont Avenue, Salt Lake City, Utah",40.7640947,-111.8949323,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>122 Pierpont Avenue, Salt Lake City, Utah"
2014-08-14,"797 Pope Street, Memphis, Tennessee",35.154015,-89.956144,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>797 Pope Street, Memphis, Tennessee"
2014-08-13,"Treeland Drive, Clarksville, Tennessee",36.589879,-87.309525,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Treeland Drive, Clarksville, Tennessee"
2014-08-13,"New Orleans and North Rocheblave streets, New Orleans, Louisiana",29.9812248,-90.0660797,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>New Orleans and North Rocheblave streets, New Orleans, Louisiana"
2014-08-12,"Brent Cir, Cartersville, Georgia",34.1742803,-84.8867966,2,3,"<b>Date: </b>NA<br/><b>Killed: </b>2<br/><b>Injured: </b>3<br/><b>Location: </b>Brent Cir, Cartersville, Georgia"
2014-08-12,"Oakmont Avenue, Buffalo, New York",42.9323808,-78.8078502,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Oakmont Avenue, Buffalo, New York"
2014-08-10,"5400 block of Burgundy St, New Orleans, Louisiana",29.959362,-90.019197,2,5,"<b>Date: </b>NA<br/><b>Killed: </b>2<br/><b>Injured: </b>5<br/><b>Location: </b>5400 block of Burgundy St, New Orleans, Louisiana"
2014-08-10,"Idylwild Dr, Wrightsville, Georgia",32.7107992,-82.727641,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>Idylwild Dr, Wrightsville, Georgia"
